Date,Reference,Transaction Type,Money In, Money Out,Balance
04/07/2017,30 JUN 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,6.85,456.56
04/07/2017,30 JUN 17 CORNER NEWS LTD HOVE GBR,Card Purchase,0.00,3.44,463.41
04/07/2017,30 JUN 17 SAINSBURYS SACAT4963 HOVE GBR GBR,Card Purchase,0.00,2.24,466.85
04/07/2017,02 JUL 17 SAINSBURYS SACAT 4098 BRIGHTON GBR GBR,Card Purchase,0.00,0.69,469.09
04/07/2017,04/07/17 02:11 Royal Bank of Scotland plc (Store) TESCO HOVE HOVE,ATM Cash Withdrawal,0.00,10.00,469.78
04/07/2017,04/07/17 02:11 Royal Bank of Scotland plc (Store) TESCO HOVE HOVE,ATM Cash Withdrawal,0.00,10.00,479.78
04/07/2017,JE891171D DWP DLA,BACS Payment Received,310.60,0.00,489.78
04/07/2017,04/07/17 00:46 147-148 WESTERN ROAD BRIGHTON GBR,ATM Cash Withdrawal,0.00,20.00,179.18
03/07/2017,29 JUN 17 SMART SEA VIEW BRIGHTO HOVE GBR,Card Purchase,0.00,7.97,199.18
03/07/2017,BRIGHTON N HOVE BC,BACS Payment Received,74.27,0.00,207.15
01/07/2017,,Cash Withdrawal,0.00,9.99,132.88
30/06/2017,30/06/17 22:29 Bank Machine (Cardtronics) SOUTHERN CO OP WESTERNBRIGHTON G,ATM Cash Withdrawal,0.00,10.00,142.87
30/06/2017,30/06/17 22:26 Bank Machine (Cardtronics) SOUTHERN CO OP WESTERNBRIGHTON G,ATM Cash Withdrawal,0.00,20.00,152.87

